sample,sse
sample_1,495.2281281655928
sample_2,443.57233247743613
sample_3,424.4764166063322
sample_4,413.7418271893078
sample_5,403.54904793477476
sample_6,399.92356144479845
sample_7,394.9684451237589
sample_8,387.99038248181023
sample_9,383.7446531361327
sample_10,378.6353420587841
sample_11,375.26890428121476
sample_12,373.583842605316
sample_13,371.5162544580321
sample_14,368.5157287477614
sample_15,365.3805509362883
sample_16,361.4050289975497
sample_17,360.28603435471337
sample_18,358.0931671550198
sample_19,355.8811230050694
sample_20,354.1385771424997
sample_21,351.84448032446016
sample_22,349.84420177088657
sample_23,348.476147623643
sample_24,345.74850107797886
sample_25,343.213972308188
sample_26,342.70555628148895
sample_27,341.6849867833617
sample_28,339.49562748647804
sample_29,338.91934069602655
sample_30,337.052054983263
sample_31,335.3130737325275
sample_32,333.7328713430552
sample_33,333.2093814071068
sample_34,332.57917723022774
sample_35,332.11494921842745
sample_36,329.8806462332441
sample_37,329.2792607582469
sample_38,328.48254500493863
sample_39,327.4052628323261
sample_40,326.79068302963003
sample_41,395.6094963174057
sample_42,324.9039902550155
sample_43,324.26218214036703
sample_44,323.39693226015504
sample_45,322.5394634826108
sample_46,321.8056547324678
sample_47,320.96035024629316
sample_48,320.40835008566
sample_49,320.07631432088976
sample_50,319.55045997821605
sample_51,319.0136610494138
sample_52,317.9841889517958
sample_53,317.9006924559368
sample_54,317.65266681735073
sample_55,316.893102460833
sample_56,316.01222974464144
sample_57,315.3768088792141
sample_58,314.59334729257034
sample_59,314.4768465127265
sample_60,313.79755441371015
sample_61,312.90943932567245
sample_62,312.17564451519894
sample_63,311.7078322380311
sample_64,311.21195378602994
sample_65,310.2573156780902
sample_66,309.623156039945
sample_67,309.08646847213623
sample_68,308.6639515945725
sample_69,308.00625989480625
sample_70,307.2430842966877
sample_71,306.75069449386257
sample_72,306.1419794238989
sample_73,305.746765257883
sample_74,305.61629055045887
sample_75,305.18848530879717
sample_76,304.66122068349927
sample_77,304.33796548299347
sample_78,304.310867385454
sample_79,304.13229370524107
sample_80,303.37949908008187
sample_81,302.93317233522595
sample_82,303.5589708992829
sample_83,302.13405359134345
sample_84,301.7033365333042
sample_85,301.08956638654195
sample_86,300.59884383590713
sample_87,300.39748412731774
