sample,sse
sample_1,471.20334891999465
sample_2,463.1496761254057
sample_3,418.6616332707696
sample_4,394.3924854261631
sample_5,397.596599528017
sample_6,379.3147261397862
sample_7,374.0943669159334
sample_8,377.55234763454143
sample_9,366.33376418476223
sample_10,363.6038075986824
sample_11,355.4117298191245
sample_12,353.8364791624628
sample_13,355.61333346468916
sample_14,356.1557098746871
sample_15,358.968427546739
sample_16,358.3039926033275
sample_17,360.2957728529122
sample_18,357.4427911607849
sample_19,351.5240449432829
sample_20,442.7649908809509
sample_21,358.97527124757744
sample_22,335.867946912487
sample_23,335.28781324903366
sample_24,355.14015035046253
sample_25,332.53858604345123
sample_26,328.2330412740545
sample_27,428.47464046031536
sample_28,326.89218637230385
sample_29,346.5064950312716
sample_30,337.199434104822
sample_31,374.3077309577738
sample_32,331.03740118383746
sample_33,328.365733069425
sample_34,381.97184218653035
sample_35,335.19741334204264
sample_36,326.99109660944487
sample_37,324.7611533663037
sample_38,336.92103687084784
sample_39,331.4327846069531
sample_40,336.23168671378374
sample_41,392.97560405674835
sample_42,318.05031701770565
sample_43,333.48161073508754
sample_44,319.52901560509497
sample_45,359.4555352152222
sample_46,358.62561595028586
sample_47,312.693223608062
sample_48,359.8160916116782
sample_49,305.5279373366934
sample_50,372.14542763395133
sample_51,328.43675410435696
sample_52,309.450941717991
sample_53,303.807366335016
sample_54,305.17865312865064
sample_55,334.0616290650719
sample_56,316.1500471031754
sample_57,307.44210922480863
sample_58,367.5596165006191
sample_59,344.65948149595954
sample_60,300.5210573902497
sample_61,316.73734689984667
sample_62,300.3651641756295
sample_63,314.57533093816517
sample_64,315.67612120333064
sample_65,297.63128422307943
sample_66,306.80092522958125
sample_67,296.1534167571741
sample_68,299.95736806473536
sample_69,314.3248557906014
sample_70,294.07791823010456
sample_71,317.7070084864538
sample_72,292.8954083913075
sample_73,295.9416728353442
sample_74,292.92374339855223
sample_75,346.60467737356055
sample_76,292.79923023675406
sample_77,295.5109618561772
sample_78,298.97109205547537
sample_79,306.96194621058305
sample_80,296.57613904183654
sample_81,295.900490337684
sample_82,308.72543674685073
sample_83,292.1680090623385
sample_84,308.9464156650657
sample_85,291.2723906015027
sample_86,288.1363664162148
sample_87,321.1925776626408
sample_88,292.70363230295817
sample_89,298.072780139558
sample_90,346.1497450470324
sample_91,374.5415301575953
sample_92,297.1944955019873
sample_93,294.450361379734
sample_94,306.20664613452004
sample_95,290.7642325459728
sample_96,362.47554237841905
sample_97,345.11181193856464
sample_98,285.6740994236584
sample_99,286.2235192144633
sample_100,306.5160674233968
sample_101,309.1207152886143
sample_102,287.2967608389317
sample_103,311.02264622442146
sample_104,374.6337504221897
sample_105,359.24102884650944
sample_106,298.2942644041812
sample_107,317.1473067888385
sample_108,349.697902581383
sample_109,282.1288778342518
sample_110,301.82113908869087
sample_111,331.60392595178854
sample_112,284.17260776570134
sample_113,292.71777236197096
sample_114,364.8156748166808
sample_115,296.61208685461406
sample_116,278.9254452778189
sample_117,286.1473730709995
sample_118,316.7689599436602
sample_119,290.16112574644137
sample_120,309.2217215653718
sample_121,368.09521551822803
sample_122,352.7505329989724
sample_123,367.1669792196145
sample_124,281.2314017653159
sample_125,287.8974824151055
sample_126,289.1402214114628
sample_127,287.51364300454884
sample_128,277.3193927755599
sample_129,276.7413763761701
sample_130,275.0356941992408
sample_131,368.8310520144537
sample_132,282.6134414586602
sample_133,326.78346456025486
sample_134,319.0106191834782
sample_135,277.2865694112766
sample_136,286.21131774488106
sample_137,273.2657809178504
sample_138,346.50816799117024
sample_139,374.919665325627
sample_140,274.2309289851157
sample_141,282.88583583126496
sample_142,373.2686804164401
sample_143,275.0864994807076
sample_144,315.2651051377404
sample_145,276.7975140155796
sample_146,370.53741906033656
sample_147,270.2128131073601
sample_148,356.59775420313497
sample_149,347.7816037802955
sample_150,294.86706281218187
sample_151,356.60837046786514
sample_152,287.3347375129148
sample_153,271.00025941050745
sample_154,271.92465870243797
sample_155,323.04289246022347
sample_156,282.91068952261435
sample_157,269.24490971703653
sample_158,284.02463300677766
sample_159,320.6531369175066
sample_160,275.0301610086598
sample_161,308.6585890700111
sample_162,268.4924439244584
sample_163,267.3945215981779
sample_164,339.1740321956732
sample_165,271.3509698644401
sample_166,272.0497806173661
sample_167,268.053329038401
sample_168,347.7318988858433
sample_169,284.8141404707549
sample_170,292.9638492616092
sample_171,269.1573949517467
sample_172,298.9576467996713
sample_173,318.16065604511596
sample_174,357.7613537594405
sample_175,267.1801401518452
sample_176,265.5259318325464
sample_177,276.2236192067769
sample_178,366.60295478047897
sample_179,369.41512747488787
sample_180,349.0454052631196
sample_181,317.90903112615956
sample_182,264.42585996846674
sample_183,268.9610405604386
sample_184,269.6171669127056
sample_185,265.7830787017674
sample_186,266.89504625289715
sample_187,374.9034497374737
sample_188,273.1456914692118
sample_189,263.09776267539723
sample_190,370.36771643625804
sample_191,362.29081258134784
sample_192,345.2734602779535
sample_193,271.4294207045633
sample_194,261.90766045665805
sample_195,262.7297485736749
sample_196,344.47772722921184
sample_197,284.30913038533424
sample_198,269.32208471695895
sample_199,358.8674858423137
sample_200,308.73013627379646
sample_201,345.83860780453125
sample_202,296.8869673674162
sample_203,276.6756589582814
sample_204,266.2565255628671
sample_205,317.56811018964777
sample_206,334.5781401932254
sample_207,353.9534646379126
sample_208,260.8859695191594
sample_209,312.57591412545605
sample_210,260.4064853273214
sample_211,258.9659208843225
sample_212,266.41643308784194
sample_213,261.9604332643602
sample_214,258.0034046024088
sample_215,257.99328703431166
sample_216,276.195818340487
sample_217,351.64708308834656
sample_218,348.7564157724686
sample_219,259.4356919522318
sample_220,267.4447419831014
sample_221,343.65182015098765
sample_222,328.0933372978259
sample_223,369.5993102998172
sample_224,256.4883614311035
sample_225,282.3749523364992
sample_226,325.90332038871884
sample_227,263.2447124490649
sample_228,319.7377748891254
sample_229,255.7122056665074
sample_230,255.36916380681663
sample_231,352.0045806060652
sample_232,261.8134921376606
sample_233,262.7311748313335
sample_234,256.0641728522439
sample_235,330.79180605408476
sample_236,266.2972470754729
sample_237,276.6795461270626
sample_238,260.69721288073185
sample_239,260.95699261110394
sample_240,254.19253740256846
sample_241,257.00545980433844
sample_242,271.4611641414124
sample_243,265.01260731474
sample_244,264.91635742309774
sample_245,253.14312960682634
sample_246,255.35901053680067
sample_247,252.9954004310065
sample_248,261.9396612052534
sample_249,304.1549132672469
sample_250,252.4792616565534
sample_251,333.79975102337835
sample_252,253.39121470543176
sample_253,357.1404307936062
sample_254,252.40046397710069
sample_255,290.4655776351283
sample_256,253.9134436192001
sample_257,297.3386440362136
sample_258,319.96017756140327
sample_259,306.7806977021072
sample_260,321.71792780299006
sample_261,252.6720398444382
sample_262,251.937146573753
sample_263,322.58320344863523
sample_264,278.44735393194344
sample_265,333.3169493598358
sample_266,334.0768073628036
sample_267,255.82300335946013
sample_268,344.6128607094332
sample_269,284.9975183721118
sample_270,269.80633546158776
sample_271,343.19181447616825
sample_272,251.1170711170076
sample_273,251.67128127952867
sample_274,339.32486736111736
sample_275,286.4707902151297
sample_276,250.9166155702294
sample_277,257.9149685227266
sample_278,260.5073131279462
sample_279,338.4402092068882
sample_280,255.1404926690901
sample_281,318.9490729589736
sample_282,253.80975636690476
sample_283,258.1757834127188
sample_284,342.1304599397949
sample_285,374.00979199569304
sample_286,316.51188181123024
sample_287,249.98392260528226
sample_288,257.165993586685
sample_289,319.51001484413786
sample_290,337.085502563785
sample_291,312.0129081882357
sample_292,318.1508740614989
sample_293,255.04064146783156
sample_294,308.25018391910055
sample_295,248.75559591750311
sample_296,251.3760595198283
sample_297,248.2859186400737
sample_298,293.8468255000897
sample_299,250.5775623670361
sample_300,248.10775389269938
sample_301,371.7785034036827
sample_302,309.06402343774016
sample_303,282.2928911854567
sample_304,269.3292119981073
sample_305,305.59173841498205
sample_306,272.0049782317747
sample_307,346.66945896414535
sample_308,314.5658115488086
sample_309,247.99385611624373
sample_310,251.0702055713457
sample_311,311.0580521150305
sample_312,368.8052025270341
sample_313,271.91385967399344
sample_314,322.76367164881754
sample_315,322.34470756052883
sample_316,245.8920909095944
sample_317,315.9349934985121
sample_318,299.6299214791135
sample_319,364.76840690063545
sample_320,322.4708047306133
sample_321,247.82092062577198
sample_322,316.130310566845
sample_323,273.69975039286913
sample_324,348.89013931626397
sample_325,245.59989367317698
sample_326,335.1624976158137
sample_327,311.90050267718414
sample_328,257.74472396666886
sample_329,244.9994232388934
sample_330,245.59789247207476
sample_331,286.3948874483504
sample_332,314.7049059460246
sample_333,291.14559437617163
sample_334,332.88720282555744
sample_335,261.6086851203522
sample_336,243.9541614896
sample_337,343.1943392882339
sample_338,260.97793544522995
sample_339,366.9267834444855
sample_340,247.54714718090113
sample_341,244.11966461885964
sample_342,245.38598677735453
sample_343,306.57544992912597
sample_344,258.98094477625034
sample_345,244.61634704174529
sample_346,362.96244554852274
sample_347,311.87644634480375
sample_348,315.8096984002883
sample_349,317.4732694792641
sample_350,326.09079531458724
sample_351,308.66144116333476
sample_352,256.05498765044615
sample_353,266.73399529647935
sample_354,248.9118847390306
sample_355,247.13636236937563
sample_356,305.6186413213321
sample_357,268.02963411657976
sample_358,314.63620200839944
sample_359,258.37012301771773
sample_360,300.7046298975036
sample_361,274.0674926211808
sample_362,322.3202733511106
sample_363,242.83744292049693
sample_364,246.7587402390618
sample_365,281.53450065271466
sample_366,291.64008588528804
sample_367,327.85223418099923
sample_368,308.5304189625413
sample_369,272.44731290314473
sample_370,240.32688470279578
sample_371,242.0957853619587
sample_372,244.27231203996251
sample_373,304.05379770493045
sample_374,292.0178811200552
sample_375,253.70971509020444
sample_376,240.15011610494255
sample_377,240.053372806644
sample_378,242.31929105549884
sample_379,321.64123086827124
sample_380,241.4675912706424
sample_381,301.272499637492
sample_382,278.9204174278838
sample_383,242.95744034842713
sample_384,251.46130399430095
sample_385,252.0373258751435
sample_386,320.6261661673951
sample_387,311.5548536338292
sample_388,287.1036024038316
sample_389,241.41878658438637
sample_390,348.3447478858213
sample_391,251.43899437369686
sample_392,238.7403986962778
sample_393,309.8671871533104
sample_394,255.50082491640933
sample_395,316.57598951881675
sample_396,246.84892391312857
sample_397,367.93645244662923
sample_398,346.69638202298336
sample_399,246.02925359005278
sample_400,247.16596938260994
sample_401,238.96552290344925
sample_402,262.8847497371065
sample_403,242.46955770197292
sample_404,243.0495087834821
sample_405,330.7794356788671
sample_406,372.1747031200166
sample_407,275.2099158967031
sample_408,310.8230567426904
sample_409,251.4420899769634
sample_410,238.9529514078775
sample_411,241.12226147012575
sample_412,332.44193367473065
sample_413,267.05871527460977
sample_414,244.9315958749686
