well_name,longitude,latitude,datum,completion_date,total_depth,area,state,operator,well_type,artificial_lift,fluid_type,well_status,produced_fluid,number_of_stages,horizontal_length,fluid_volume,proppant_volume,eur_oil_mbbl,eur_gas_mmscf,eur_total_mboeq,max_qo_bpd,max_qg_mscfd,cum90_oil_bbl,cum180_oil_bbl,cum360_oil_bbl,cum90_gas_mscf,cum180_gas_mscf,cum360_gas_mscf,last_oil_bbl,last_eff_days,last_oil_bpd,last_gas_mscf,last_gas_mscf_d,cum90norm_oil_bbl,cum180norm_oil_bbl,cum360norm_oil_bbl
LACh-46(h),-68.5656589068246,-38.124016942945964,406.25,2020-03-01,4882,LA_AMARGA_CHICA,Neuquen,YPF,Horizontal,SN,Black_Oil,Active,Oil,NA,1891,NA,NA,0,0,0,1.3625,NA,NA,NA,NA,NA,NA,NA,16.35,12,0.5372987183700296,90.05,2.959250739401906,NA,NA,NA
LACh-47(h),-68.56554486466206,-38.12401652126376,406.25,2020-03-01,4771,LA_AMARGA_CHICA,Neuquen,YPF,Horizontal,SN,Black_Oil,Active,Oil,NA,1643,NA,NA,0,0,0,1.3625,NA,NA,NA,NA,NA,NA,NA,16.35,12,0.5372987183700296,90.05,2.959250739401906,NA,NA,NA
LACh-48(h),-68.56543082250191,-38.12401609947086,406.17,2020-03-01,4806,LA_AMARGA_CHICA,Neuquen,YPF,Horizontal,SN,Black_Oil,Active,Oil,NA,1804,NA,NA,0,0,0,1.22406417112299,NA,NA,NA,NA,NA,NA,NA,22.89,18.7,0.7522182057180414,129.96,4.270785409135722,NA,NA,NA
LLL-1285(h),-68.684599642785,-38.36382566980047,514.9,2020-03-01,4640,LOMA_CAMPANA,Neuquen,YPF,Horizontal,SN,Black_Oil,Active,Oil,NA,1409,NA,NA,417,7,418,295.661052631579,NA,NA,NA,NA,NA,NA,NA,5617.56,19,184.60598093986198,7245.51,238.10417351298062,NA,NA,NA
MdBx-1(h),-69.02321007055127,-38.702407671723755,524.94,2020-03-01,3939,LOMA_LA_LATA-SIERRA_BARROSA,Neuquen,YPF,Horizontal,SN,Volatile_Oil,Active,Oil,NA,1367,NA,NA,220,527,222,84.5873333333333,NA,NA,NA,NA,NA,NA,NA,2537.62,30,83.39204732172198,15024.27,493.73217219848834,NA,NA,NA
CASE-301(h),-68.2944187465226,-38.35660457988281,589.17,2020-02-01,3085,COIRON_AMARGO_SUR_ESTE,Neuquen,PAE,Horizontal,SN,Black_Oil,Active,Oil,27,2010,19512,6996,533,6,589,743.575161290323,NA,NA,NA,NA,NA,NA,NA,23050.83,31,757.5034505422282,3685.03,121.09858692080185,NA,NA,NA
CdL-12(h),-68.5276592189495,-38.39930598848003,487.86,2020-02-01,5420,CRUZ_DE_LORENA,Neuquen,SHELL,Horizontal,SN,Black_Oil,Active,Oil,NA,1950,NA,NA,537,19,560,714.163122923588,NA,NA,NA,NA,NA,NA,NA,21496.31,30.1,706.4183371672692,16601.78,545.5727900098586,NA,NA,NA
CdL-13(h),-68.52748750985967,-38.39930529641388,487.85,2020-02-01,5865,CRUZ_DE_LORENA,Neuquen,SHELL,Horizontal,SN,Black_Oil,Active,Oil,NA,2400,NA,NA,406,14,498,474.951712328767,NA,NA,NA,NA,NA,NA,NA,13868.59,29.2,455.75386132106473,10664.32,350.45415708182713,NA,NA,NA
CdL-14(h),-68.52731580077574,-38.39930460409621,487.82,2020-02-01,5836,CRUZ_DE_LORENA,Neuquen,SHELL,Horizontal,SN,Black_Oil,Active,Oil,NA,2350,NA,NA,745,12,867,405.448172757475,NA,NA,NA,NA,NA,NA,NA,12203.99,30.1,401.05126519881696,9418.07,309.49950706539596,NA,NA,NA
CdL-15(h),-68.52714409169769,-38.399303911527014,487.83,2020-02-01,6328,CRUZ_DE_LORENA,Neuquen,SHELL,Horizontal,SN,Black_Oil,Active,Oil,NA,2850,NA,NA,741,9,891,286.856551724138,NA,NA,NA,NA,NA,NA,NA,8318.84,29,273.3762734143937,6376.77,209.55537298718372,NA,NA,NA
