well_id,well_name,datum,completion_date,total_depth,area,state,operator,well_type,artificial_lift,fluid_type,well_status,produced_fluid,campaign,number_of_stages,stage_spacing,horizontal_length,drilling_time,fluid_volume_m3,eur_oil_mbbl,eur_gas_mmscf,eur_total_mboeq,max_qo_bpd,max_qg_mscfd,cum90_oil_bbl,cum180_oil_bbl,cum360_oil_bbl,cum90_water_bbl,cum180_water_bbl,cum360_water_bbl,cum90_gas_mscf,cum180_gas_mscf,cum360_gas_mscf,last_oil_bpd,last_water_bpd,last_gas_mscf_d,cum90norm_oil_bbl,cum180norm_oil_bbl,cum360norm_oil_bbl,cum90norm_gas_mscf,cum180norm_gas_mscf,cum360norm_gas_mscf,longitude,latitude,proppant_volume_lbm
42933,MDM-2,419.0,2014-09-01,3330.0,BAJADA_DEL_PALO_OESTE,Neuquen,VISTA,Vertical,BM,Black_Oil,Active,Oil,2014,,,0.0,,,,,,237.87,,14878.78,25630.64,44428.24,4655.09,6030.74,7750.7,30946.04,39943.35,55958.08,38.41,0.61,35.23,,,,,,,-68.62393834858452,-38.232325649282046,
51120,NDM-50,359.3,2012-06-01,2802.0,NEUQUEN_DEL_MEDIO,Neuquen,OILSTONE,Vertical,BM,Black_Oil,Inactive,Oil,2012,,,0.0,,,,,,10.93,,555.5,1021.67,1570.97,4484.32,10041.94,16993.83,0.0,0.0,0.0,2.53,17.32,0.0,,,,,,,-68.77409524994096,-38.93579668810488,
126808,ADC.x-1010,512.6,2014-10-01,2292.0,AGUA_DEL_CAJON,Neuquen,CAPEX,Vertical,BM,Black_Oil,Active,Oil,2014,,,0.0,,,,,,42.99,,2163.02,4116.7,8326.88,636.54,1282.55,1980.36,15436.05,31332.71,63132.44,2.32,0.6,1.69,,,,,,,-68.46655248190795,-38.851843229823245,
134528,LLLK.X-1,417.7,2010-06-01,2776.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,SN,Wet_Gas,Inactive,Gas,2010,,,0.0,56.0,,,,,,1011.14,2397.53,5659.96,14873.13,18696.05,29667.1,38541.54,41101.4,76340.28,145440.97,3.22,1.46,28.02,,,,,,,-68.91103212770885,-38.405908391762516,
135147,LLL-479,485.49,2010-10-01,3072.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,BM,Volatile_Oil,Inactive,Oil,2010,,,0.0,27.0,,,,,172.56,,10899.74,18038.26,25259.44,4779.65,5906.18,10093.31,14670.43,24144.61,38065.44,3.53,0.26,3.75,,,,,,,-68.79892556277468,-38.30282684681658,
135480,LLL.x-475,496.39,2011-01-01,3246.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,PL,Volatile_Oil,Active,Oil,2011,,,0.0,41.0,,51.0,146.0,76.0,173.35,,10902.76,15771.16,20870.65,5671.07,7004.56,9164.69,12389.13,28648.47,44102.89,2.39,0.72,4.78,,,,,,,-68.86902539137708,-38.29874596216593,
135484,SOil.x-1,465.6,2011-01-01,3165.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,BM,Black_Oil,Active,Oil,2011,,,0.0,53.0,,209.0,110.0,227.0,141.2,,11410.71,19438.52,30310.27,8755.34,9066.23,10764.44,7293.9,13838.93,22449.69,26.16,0.55,3.91,,,,,,,-68.63142771963547,-38.357220353738434,
135687,Au.x-1,744.11,2011-02-01,2003.0,AGUADA_BAGUALES,Neuquen,OILSTONE,Vertical,SSE,Black_Oil,Inactive,Oil,2011,,,0.0,,,,,,12.57,,931.7,1581.06,,10860.6,23000.11,,0.0,0.0,,1.15,8.38,0.0,,,,,,,-68.81195262762081,-38.81591415913603,
135803,LLL-485,432.03,2011-03-01,2800.0,LOMA_LA_LATA-SIERRA_BARROSA,Neuquen,YPF,Vertical,PL,Volatile_Oil,Inactive,Oil,2011,,,0.0,47.0,,,,,161.61,,10366.83,17162.98,24815.07,6346.33,6514.26,6946.25,15443.43,28222.7,47226.92,0.06,0.08,0.95,,,,,,,-68.78889904850286,-38.4564975985912,
136044,BAn.x-2,272.43,2011-05-01,2922.0,BAJADA_DE_ANELO,Neuquen,SHELL,Vertical,SN,Volatile_Oil,Inactive,Oil,2011,3.0,,0.0,59.0,,,,,294.15,,12571.04,17913.44,29256.74,7701.87,8000.54,8595.46,23691.73,36351.51,61701.71,1.89,0.26,0.57,,,,,,,-68.91659942918064,-38.22340302817368,
136060,LGUS-1,505.45,2011-05-01,3042.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,PL,Wet_Gas,Active,Gas,2011,,,0.0,35.0,,146.0,853.0,288.0,,2189.61,25390.13,34788.91,51577.57,25720.42,32378.0,36910.59,154020.39,215129.05,308404.77,1.91,1.45,25.81,,,,,,,-68.91560369594697,-38.33389603564438,
136085,CAS.x-1,523.2,2011-05-01,3608.0,COIRON_AMARGO_SUR_ESTE,Neuquen,PAE,Vertical,SN,Black_Oil,Inactive,Oil,2011,3.0,,0.0,32.0,2648.0,,,,134.87,,6096.88,10209.02,15254.67,1404.03,1825.49,2169.02,205.32,205.32,205.32,1.48,12.12,0.0,,,,,,,-68.41230548234468,-38.38335267734893,2147299.88
136203,LGUS-2,502.8,2011-06-01,3035.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,PL,Volatile_Oil,Active,Oil,2011,,,0.0,40.0,,123.0,662.0,233.0,338.2,,24675.45,35940.33,55926.73,24215.31,34157.32,38825.67,111932.47,168137.91,250014.51,2.57,5.8,36.08,,,,,,,-68.90259287066054,-38.321697061236215,
136381,LCue.x-1,490.73,2011-07-01,3067.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,SSE,Volatile_Oil,Inactive,Oil,2011,,,0.0,44.0,,,,,231.05,,12976.12,19873.85,26097.05,22010.6,29859.18,36600.88,35843.73,60236.31,77608.81,1.09,0.0,16.75,,,,,,,-68.79899767901344,-38.32640299513909,
136402,PSG.x-1,489.74,2011-07-01,3068.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,PL,Volatile_Oil,Inactive,Oil,2011,,,0.0,60.0,,,,,361.32,,16924.37,21868.27,34747.11,30034.3,36866.38,39602.72,39333.47,53685.38,75593.72,2.49,2.15,35.42,,,,,,,-68.79269735272894,-38.338094421018226,
136404,LLL.x-487,487.82,2011-07-01,3147.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,SN,Black_Oil,Active,Oil,2011,,,0.0,36.0,,285.0,445.0,359.0,258.01,,14599.49,22792.23,35506.84,16260.67,19618.72,22463.36,18183.97,30678.95,45857.27,21.7,412.8,42.94,,,,,,,-68.71260331259377,-38.339402925018874,
136588,LACh.x-3,330.19,2011-09-01,2819.0,LA_AMARGA_CHICA,Neuquen,YPF,Vertical,BM,Black_Oil,Inactive,Oil,2011,4.0,,0.0,42.0,,,,,155.61,,9547.34,19579.73,31037.12,8259.31,8559.67,8559.67,3995.88,8419.88,14740.33,2.13,0.01,2.41,,,,,,,-68.60909611979491,-38.088097143304644,
136589,LLL.a-513,495.61,2011-09-01,3040.0,LOMA_CAMPANA,Neuquen,YPF,Vertical,PL,Volatile_Oil,Active,Oil,2011,,,0.0,35.0,,80.0,198.0,114.0,319.38,,23307.98,32458.24,42175.27,24978.34,37891.99,54236.95,38806.6,69070.17,115253.1,4.71,1.98,4.78,,,,,,,-68.84609773326406,-38.31279890506668,
