sample,sse
sample_1,540.0688460276582
sample_2,480.27867922416885
sample_3,457.65417457126324
sample_4,445.7847774641546
sample_5,434.54675005942727
sample_6,430.2915137377581
sample_7,424.7802170555897
sample_8,416.51301283454177
sample_9,411.2600701314865
sample_10,405.45168566294956
sample_11,401.4369199614785
sample_12,399.397509422118
sample_13,396.3078716297475
sample_14,393.6240347536788
sample_15,390.2170774981757
sample_16,385.6433052204724
sample_17,384.41050869437834
sample_18,381.8733994340433
sample_19,379.4057914256979
sample_20,377.46218546274287
sample_21,374.7590608129269
sample_22,372.4915396109104
sample_23,370.70936503901396
sample_24,367.63170613429594
sample_25,364.72727420409376
sample_26,364.03083855617217
sample_27,362.5836503822877
sample_28,360.1687837136135
sample_29,359.4340736073556
sample_30,357.4495307358763
sample_31,355.6275246627181
sample_32,353.8886797576954
sample_33,353.23102860187225
sample_34,352.4862560396351
sample_35,351.4442646778413
sample_36,349.4650572726931
sample_37,348.8090094636465
sample_38,347.660710956961
sample_39,346.4783018454033
sample_40,345.6598353869132
sample_41,343.894852707073
sample_42,343.5661417335933
sample_43,342.66631778940825
sample_44,341.68929461371704
sample_45,340.53420392564465
sample_46,339.66095591808937
sample_47,338.6825708984137
sample_48,338.033592790625
sample_49,337.64828112905593
sample_50,336.9533520107219
sample_51,336.31361022665396
sample_52,335.19909394441976
sample_53,334.9542572014748
sample_54,334.66400210199527
sample_55,333.8304480165508
sample_56,332.8288274844166
sample_57,332.066533784687
sample_58,331.1749877000933
sample_59,330.9743280807106
sample_60,330.2116123079834
sample_61,329.2019894233615
sample_62,328.4311189405819
sample_63,327.8147322584027
sample_64,327.3026665064251
sample_65,326.26134956816765
sample_66,325.5416503365599
sample_67,324.9581940414509
sample_68,324.4350217920438
sample_69,323.71806823054794
sample_70,322.89317559946414
sample_71,322.29005263009986
sample_72,321.63944842502633
sample_73,321.19047859356357
sample_74,321.0577104734268
sample_75,320.52146374568747
sample_76,319.8937779649775
sample_77,319.50700104881196
sample_78,319.4022534655537
sample_79,319.15475149977414
sample_80,318.3695408690826
sample_81,317.883543025678
sample_82,317.33748455188606
sample_83,316.9807054180029
sample_84,316.4641938267657
sample_85,315.75378903279193
sample_86,315.19613274508106
sample_87,314.8586580341191
sample_88,314.1395046850836
sample_89,313.6699168324826
sample_90,313.1696476741269
sample_91,312.65253106882244
sample_92,312.4757695137556
sample_93,312.0437230888
sample_94,311.47982456609793
sample_95,311.1534243880821
sample_96,310.65282064318035
sample_97,310.38934640864477
sample_98,309.853715535579
sample_99,309.25857889361805
sample_100,308.70874067573413
sample_101,308.2972144311983
sample_102,307.925374080221
sample_103,307.1824624941143
sample_104,307.0163253806363
sample_105,306.42884839777776
sample_106,306.0582775388923
sample_107,305.64516236313665
sample_108,305.00643858888805
sample_109,304.71066888098903
sample_110,304.0105817261831
sample_111,303.37234593300354
sample_112,303.01113381487187
sample_113,302.7675729291195
sample_114,302.3466083289759
sample_115,301.8668438095274
sample_116,301.8282852990687
sample_117,301.6373781802946
sample_118,301.4509268294621
sample_119,301.1841383722389
sample_120,300.77094225016697
sample_121,300.26614216121243
sample_122,299.8978689473896
sample_123,299.6486157276492
sample_124,299.4040297749282
sample_125,298.8919243464435
sample_126,298.6298614014835
sample_127,298.2262912099368
sample_128,297.7356665689622
sample_129,297.35747102337746
sample_130,297.2097114848366
sample_131,296.94138232001
sample_132,296.25396497925186
sample_133,295.6772066870399
sample_134,295.50273034372754
sample_135,295.02076100316856
sample_136,294.7296149653131
sample_137,294.55131642309334
sample_138,294.24815010238126
sample_139,293.83492223143134
sample_140,293.6464282305127
sample_141,293.51786046310974
sample_142,292.9465962538319
sample_143,292.595785793092
sample_144,292.33555024099735
sample_145,292.07582242147976
sample_146,291.8961238827721
sample_147,291.63188343096175
sample_148,291.3415042318365
sample_149,290.9177576696485
sample_150,290.69027056434936
sample_151,290.54182396989984
sample_152,290.47369585002366
sample_153,290.1137077888028
sample_154,289.9960433021703
sample_155,289.8349326331687
sample_156,289.6043174031044
sample_157,289.1739047363903
sample_158,289.09052482037305
sample_159,288.61067978635566
sample_160,288.509371767201
sample_161,288.2710095435992
sample_162,288.1006828439083
sample_163,287.887229137233
sample_164,288.0001472258198
sample_165,287.55647177589043
sample_166,287.2375848575536
sample_167,286.96135686441886
sample_168,286.7163318480549
sample_169,286.5625405306969
sample_170,286.3231407704241
sample_171,286.21469398781994
sample_172,286.04803422839484
sample_173,285.79644428575125
sample_174,285.6815778411284
sample_175,285.40645827428256
sample_176,284.9288966338054
sample_177,285.0189603681511
sample_178,284.5893970166962
sample_179,284.3847972709384
sample_180,284.00820327869786
sample_181,283.81333688858876
sample_182,283.5711925240197
sample_183,283.3157223300339
sample_184,283.01107938132435
sample_185,282.81132507393454
sample_186,282.52823930360813
sample_187,282.20767626966074
sample_188,281.81478730278104
sample_189,281.62041176101684
sample_190,281.40659622040374
sample_191,281.4042771260106
sample_192,281.2923427778437
sample_193,280.894872222503
sample_194,280.85662231770027
sample_195,280.518032064565
sample_196,280.26697368826484
sample_197,280.01612327331554
sample_198,279.9137223195636
sample_199,279.52795744309117
sample_200,279.3167469821329
sample_201,279.3712256298689
sample_202,278.9681570315676
sample_203,278.6237609102708
sample_204,278.3525506229647
sample_205,277.9794631864099
sample_206,277.7373115459094
sample_207,277.3937162857701
sample_208,277.28671773238705
sample_209,277.10277537115485
sample_210,276.54109031079
sample_211,276.3337641971876
sample_212,276.1070893819906
sample_213,275.92818776404914
sample_214,275.78435220945875
sample_215,275.64130629231164
sample_216,275.1964948452228
sample_217,275.0654005495345
sample_218,274.84902351820676
sample_219,274.63020403687005
sample_220,274.3480738345363
sample_221,273.94318551603413
sample_222,273.906319487539
sample_223,273.69179845589895
sample_224,273.47602605478244
sample_225,273.33338718345664
sample_226,273.22643398350857
sample_227,272.89105464265776
sample_228,272.7005468152898
sample_229,272.38251656154375
sample_230,272.1714323491192
sample_231,271.95974075586025
sample_232,271.80058184152267
sample_233,271.7385148803278
sample_234,271.57356384395223
sample_235,271.4701262700567
sample_236,271.34603434945404
sample_237,271.2265612395412
sample_238,271.1063906788068
sample_239,270.8745699659694
sample_240,270.54931335870924
sample_241,270.1521484671601
sample_242,270.05950738709197
sample_243,269.73910964720494
sample_244,269.40730885227373
sample_245,269.2776147579242
sample_246,269.0354989638563
sample_247,269.1021987563619
sample_248,268.97265372771733
sample_249,268.7170589370178
sample_250,268.542580260325
sample_251,268.2725237541962
sample_252,268.18255890887684
sample_253,268.1234535641151
sample_254,267.98075982009584
sample_255,267.7575721971465
sample_256,267.5249943484407
sample_257,267.521784874658
sample_258,267.5243282572225
sample_259,267.3120330046887
sample_260,267.1538927284923
sample_261,267.09520203631183
sample_262,267.16644347718
sample_263,267.06513986003085
sample_264,266.9748863947573
sample_265,266.901857488923
sample_266,266.90717551746604
sample_267,266.72829067271397
sample_268,266.49743607926973
sample_269,266.3581037553022
sample_270,266.1530739650898
sample_271,265.89031573028774
sample_272,265.797362589907
sample_273,265.7478233861028
sample_274,265.6966260792775
sample_275,265.6471388119114
sample_276,265.69064632616136
sample_277,265.41084907656375
sample_278,265.21535856158255
sample_279,265.039987542188
sample_280,264.78174386831154
sample_281,264.84786744928317
sample_282,264.53817902127304
sample_283,264.47444592259853
sample_284,264.4873331936553
sample_285,264.2382364701973
sample_286,263.9644686363126
sample_287,263.65080732307626
sample_288,263.4029388225322
sample_289,263.2696108488207
sample_290,263.0176820267201
sample_291,262.81654808473144
sample_292,262.6387111484212
sample_293,262.47591526705446
sample_294,262.36493903185846
sample_295,262.3255451440879
sample_296,262.1025140752016
sample_297,262.004935644041
sample_298,261.8578892519817
sample_299,261.73824097053193
sample_300,261.5368639602077
sample_301,261.4727995550814
sample_302,261.3873509317113
sample_303,261.2480425329451
sample_304,260.9867385707551
sample_305,260.76840606503805
sample_306,260.4990928753251
sample_307,260.33279474479525
sample_308,260.2531508363668
sample_309,260.18590417356313
sample_310,260.01254347918297
sample_311,259.96095084642957
sample_312,259.83968647161737
sample_313,259.5686082179935
sample_314,259.3237831855835
sample_315,259.1803570046191
sample_316,258.98134314669005
sample_317,258.83002527070676
sample_318,258.7648687345425
sample_319,258.57832901952975
sample_320,258.6040552793179
sample_321,258.3455011234161
sample_322,258.2703507591739
sample_323,258.09736209096957
sample_324,257.99550759472845
sample_325,257.9674379049949
sample_326,257.9102208868811
sample_327,257.8045834577793
sample_328,257.7057595573912
sample_329,257.6555906561142
sample_330,257.41144059511305
sample_331,257.0426606887384
sample_332,256.82698899834526
sample_333,256.68696005939813
sample_334,256.48790744025416
sample_335,256.3614879118296
sample_336,256.29502166805304
sample_337,256.071297467126
sample_338,256.0335631071214
sample_339,255.87744261250165
sample_340,255.7451438588064
sample_341,255.77636389179
sample_342,255.50551709643346
sample_343,255.32167216163063
sample_344,255.19602126566446
sample_345,255.0195600449211
sample_346,254.75500261942068
sample_347,254.6378404012836
sample_348,254.36316609331158
sample_349,254.3481143579373
sample_350,254.08762065807824
sample_351,254.03705943088283
sample_352,254.01208263861062
sample_353,253.94456184401338
sample_354,253.74235060779256
sample_355,253.45215208647022
sample_356,253.23098436034928
sample_357,253.1712504937777
sample_358,253.14556686854587
sample_359,253.00076631050388
sample_360,252.87123345727932
sample_361,252.73223734416166
sample_362,252.7659998695133
sample_363,252.6765348311062
sample_364,252.55639648910426
sample_365,252.29595542362472
sample_366,252.1591054911442
sample_367,252.1023107202306
sample_368,251.923089862081
sample_369,251.8916699287957
sample_370,251.74143858267217
sample_371,251.5614999808359
sample_372,251.49074554201314
sample_373,251.44265465921183
sample_374,251.36527519429987
sample_375,251.21828143469207
sample_376,251.13668112377755
sample_377,251.09984936902285
sample_378,250.93799603369365
sample_379,250.7496134994612
sample_380,250.71892185202967
sample_381,250.610167260373
sample_382,250.41985451245515
sample_383,250.3808447513945
sample_384,250.33689174481543
sample_385,250.2095754209774
sample_386,249.96756554135425
sample_387,249.90876934455255
sample_388,249.71356389421157
sample_389,249.62980554584027
sample_390,249.4963452378906
sample_391,249.4076758015484
sample_392,249.33635888695045
sample_393,249.27105335970356
sample_394,249.11666946896173
sample_395,249.15355041545482
sample_396,249.10570446930814
sample_397,249.10446442410506
sample_398,248.9823372477684
sample_399,248.87137350070995
sample_400,248.9154462503957
sample_401,248.9349682833447
sample_402,248.72167211256138
sample_403,248.58231691456803
sample_404,248.56605299303354
sample_405,248.40328969464025
sample_406,248.13507503518392
sample_407,248.0233879423364
sample_408,247.89111052276402
sample_409,247.89823435353208
sample_410,247.8196800966445
sample_411,247.7499446192695
sample_412,247.58995731386142
sample_413,247.4269334078349
sample_414,247.389856286381
sample_415,247.329329598916
sample_416,247.22365908715477
sample_417,247.12141551680642
sample_418,247.07474514064228
sample_419,246.94565550642292
sample_420,246.94816051157176
sample_421,246.79930209376943
sample_422,246.79738288695438
sample_423,246.63313358066657
sample_424,246.56021696436218
sample_425,246.55704901339124
sample_426,246.43223344885908
sample_427,246.39389974604006
sample_428,246.30026668995814
sample_429,246.2766945674163
sample_430,246.04299156958052
sample_431,246.17271608362068
sample_432,246.023317430747
sample_433,245.9752091376334
sample_434,245.84740648660272
sample_435,245.8820221035415
sample_436,245.8113450987567
sample_437,245.8050341085834
sample_438,245.61506181196816
sample_439,245.44199844227518
sample_440,245.209053523829
sample_441,245.2063575297769
sample_442,245.1408310225013
sample_443,245.15201691508634
sample_444,245.07127822305597
sample_445,245.02861121709185
sample_446,244.87043247295327
sample_447,244.64526328867709
sample_448,244.4905929555958
sample_449,244.4353547559763
sample_450,244.3349084862221
sample_451,244.23007296778405
sample_452,244.18038079076285
sample_453,244.18652926815707
sample_454,244.18788190534036
sample_455,244.12660212545754
sample_456,244.1044092321748
sample_457,243.93700128172318
sample_458,243.86835154858704
sample_459,243.8301641853744
